poisonuos,cap-shape,cap-color,odor,stalk-shape,stalk-root,veil-type,ring-type
p,x,n,p,e,e,p,p
e,x,y,a,e,c,p,p
e,b,w,l,e,c,p,p
p,x,w,p,e,e,p,p
e,x,g,n,t,e,p,e
e,x,y,a,e,c,p,p
e,b,w,a,e,c,p,p
e,b,w,l,e,c,p,p
p,x,w,p,e,e,p,p
e,b,y,a,e,c,p,p
e,x,y,l,e,c,p,p
e,x,y,a,e,c,p,p
e,b,y,a,e,c,p,p
p,x,w,p,e,e,p,p
e,x,n,n,t,e,p,e
e,s,g,n,e,e,p,p
e,f,w,n,t,e,p,e
p,x,n,p,e,e,p,p
p,x,w,p,e,e,p,p
p,x,n,p,e,e,p,p
e,b,y,a,e,c,p,p
p,x,n,p,e,e,p,p
e,b,y,l,e,c,p,p
e,b,w,a,e,c,p,p
e,b,w,l,e,c,p,p
p,f,w,p,e,e,p,p
e,x,y,a,e,c,p,p
e,x,w,l,e,c,p,p
e,f,n,n,e,e,p,p
e,x,y,a,t,b,p,p
e,b,y,l,e,c,p,p
p,x,w,p,e,e,p,p
e,x,y,l,e,c,p,p
e,x,n,l,e,r,p,p
e,b,y,l,e,c,p,p
e,x,y,l,t,b,p,p
e,s,g,n,e,e,p,p
p,x,n,p,e,e,p,p
e,x,y,a,t,b,p,p
e,b,y,l,e,c,p,p
e,b,y,a,e,c,p,p
e,x,y,l,e,r,p,p
e,x,n,n,e,e,p,p
p,x,w,p,e,e,p,p
e,x,y,a,e,c,p,p
e,x,w,a,e,c,p,p
e,x,y,l,e,c,p,p
e,x,w,l,e,c,p,p
e,x,y,l,e,r,p,p
e,f,y,l,e,r,p,p
e,x,n,a,e,r,p,p
e,x,w,l,e,c,p,p
e,b,w,l,e,c,p,p
p,x,n,p,e,e,p,p
p,x,w,p,e,e,p,p
e,b,y,a,e,c,p,p
e,f,g,n,t,e,p,e
e,b,w,a,e,c,p,p
e,x,y,l,e,c,p,p
e,x,n,a,e,r,p,p
e,s,g,n,e,e,p,p
